Rank,prior_std,max_offset,min_samples,overall_accuracy,regional_accuracy,cross_regional_accuracy,cross_improvement,overfitting,brier_score,max_offset_value,mean_confidence,n_cross_regional
1,25,80,20,0.7076923076923077,0.7240143369175627,0.6086956521739131,0.08699565217391303,-0.015486231074077872,0.15698981605326506,93.09536702202583,0.15200000000000005,46
2,20,80,20,0.7046153846153846,0.7204301075268817,0.6086956521739131,0.08699565217391303,-0.012409307997154784,0.15747987853091258,91.82522723193098,0.15200000000000005,46
3,20,70,15,0.7076923076923077,0.7240143369175627,0.6086956521739131,0.08699565217391303,-0.015486231074077872,0.157726747741181,82.35995256993306,0.15200000000000005,46
4,20,70,20,0.7076923076923077,0.7240143369175627,0.6086956521739131,0.08699565217391303,-0.015486231074077872,0.157726747741181,82.35995256993306,0.15200000000000005,46
5,20,80,10,0.7046153846153846,0.7204301075268817,0.6086956521739131,0.08699565217391303,-0.012409307997154784,0.15747987853091258,91.82522723193098,0.15200000000000005,46
6,15,80,20,0.7138461538461538,0.7311827956989247,0.6086956521739131,0.08699565217391303,-0.021640077227923937,0.1580097429749504,89.73475640849655,0.15200000000000005,46
7,15,80,15,0.7138461538461538,0.7311827956989247,0.6086956521739131,0.08699565217391303,-0.021640077227923937,0.1580097429749504,89.73475640849655,0.15200000000000005,46
8,15,80,10,0.7138461538461538,0.7311827956989247,0.6086956521739131,0.08699565217391303,-0.021640077227923937,0.1580097429749504,89.73475640849655,0.15200000000000005,46
9,20,80,15,0.7046153846153846,0.7204301075268817,0.6086956521739131,0.08699565217391303,-0.012409307997154784,0.15747987853091258,91.82522723193098,0.15200000000000005,46
10,20,70,10,0.7076923076923077,0.7240143369175627,0.6086956521739131,0.08699565217391303,-0.015486231074077872,0.157726747741181,82.35995256993306,0.15200000000000005,46
11,25,80,15,0.7076923076923077,0.7240143369175627,0.6086956521739131,0.08699565217391303,-0.015486231074077872,0.15698981605326506,93.09536702202583,0.15200000000000005,46
12,25,80,10,0.7076923076923077,0.7240143369175627,0.6086956521739131,0.08699565217391303,-0.015486231074077872,0.15698981605326506,93.09536702202583,0.15200000000000005,46
13,15,70,15,0.7107692307692308,0.7311827956989247,0.5869565217391305,0.06525652173913044,-0.01856315415100096,0.1581198404873312,80.19992744017624,0.15200000000000005,46
14,15,70,10,0.7107692307692308,0.7311827956989247,0.5869565217391305,0.06525652173913044,-0.01856315415100096,0.1581198404873312,80.19992744017624,0.15200000000000005,46
15,25,70,20,0.7076923076923077,0.7275985663082437,0.5869565217391305,0.06525652173913044,-0.015486231074077872,0.15731281177821213,83.63808422732384,0.15200000000000005,46
16,25,70,15,0.7076923076923077,0.7275985663082437,0.5869565217391305,0.06525652173913044,-0.015486231074077872,0.15731281177821213,83.63808422732384,0.15200000000000005,46
17,25,70,10,0.7076923076923077,0.7275985663082437,0.5869565217391305,0.06525652173913044,-0.015486231074077872,0.15731281177821213,83.63808422732384,0.15200000000000005,46
18,15,70,20,0.7107692307692308,0.7311827956989247,0.5869565217391305,0.06525652173913044,-0.01856315415100096,0.1581198404873312,80.19992744017624,0.15200000000000005,46
19,15,50,20,0.7107692307692308,0.7311827956989247,0.5869565217391305,0.06525652173913044,-0.01856315415100096,0.15862359795424133,61.168241606150815,0.15200000000000005,46
20,15,60,20,0.7107692307692308,0.7311827956989247,0.5869565217391305,0.06525652173913044,-0.01856315415100096,0.15832412461506212,70.68409245097601,0.15200000000000005,46
21,15,60,15,0.7107692307692308,0.7311827956989247,0.5869565217391305,0.06525652173913044,-0.01856315415100096,0.15832412461506212,70.68409245097601,0.15200000000000005,46
22,15,60,10,0.7107692307692308,0.7311827956989247,0.5869565217391305,0.06525652173913044,-0.01856315415100096,0.15832412461506212,70.68409245097601,0.15200000000000005,46
23,15,50,15,0.7107692307692308,0.7311827956989247,0.5869565217391305,0.06525652173913044,-0.01856315415100096,0.15862359795424133,61.168241606150815,0.15200000000000005,46
