Rank,K,scale_preset,train_accuracy,test_accuracy,overfitting,brier_score,high_conf_accuracy,high_conf_count
1,24,conservative,0.6922060766182299,0.7046153846153846,-0.012409307997154784,0.1586982661355718,0.8367346938775511,49
2,16,minimal,0.6763540290620872,0.7046153846153846,-0.02826135555329745,0.1704098186009327,0.9,30
3,32,minimal,0.6803170409511229,0.7015384615384616,-0.02122142058733867,0.14234586532856278,0.8452380952380952,84
4,12,minimal,0.6829590488771466,0.7015384615384616,-0.01857941266131491,0.18236600417557822,0.8333333333333334,12
5,16,none,0.6710700132100397,0.7015384615384616,-0.030468448328421882,0.16987791950319375,0.9,30
6,28,conservative,0.6908850726552179,0.7015384615384616,-0.01065338888324363,0.15249008688037113,0.8448275862068966,58
7,20,none,0.6710700132100397,0.6984615384615385,-0.027391525251498794,0.16065372401567252,0.875,40
8,32,moderate,0.6803170409511229,0.6984615384615385,-0.01814449751041558,0.14331039251307431,0.8571428571428571,84
9,32,none,0.6737120211360634,0.6984615384615385,-0.024749517325475034,0.14194529405495526,0.8488372093023255,86
10,20,conservative,0.6922060766182299,0.6984615384615385,-0.006255461843308607,0.16624384060080505,0.8717948717948718,39
11,12,none,0.6763540290620872,0.6984615384615385,-0.022107509399451275,0.1818057393918323,0.8333333333333334,12
12,24,none,0.6710700132100397,0.6953846153846154,-0.024314602174575706,0.1532417635984478,0.8269230769230769,52
13,32,aggressive,0.6816380449141347,0.6953846153846154,-0.013746570470480668,0.14026022391679493,0.8571428571428571,91
14,12,moderate,0.678996036988111,0.6953846153846154,-0.016388578396504427,0.18350774620866725,0.8333333333333334,12
15,32,conservative,0.6922060766182299,0.6953846153846154,-0.003178538766385519,0.14731226479910706,0.8648648648648649,74
16,24,minimal,0.6816380449141347,0.6953846153846154,-0.013746570470480668,0.15367422991774232,0.84,50
17,28,minimal,0.6816380449141347,0.6953846153846154,-0.013746570470480668,0.1475196589605211,0.84375,64
18,16,conservative,0.6895640686922061,0.6953846153846154,-0.005820546692409279,0.17559391687810208,0.8695652173913043,23
19,28,moderate,0.678996036988111,0.6953846153846154,-0.016388578396504427,0.14844734110716137,0.8360655737704918,61
20,28,aggressive,0.678996036988111,0.6923076923076923,-0.01331165531958134,0.1452919730126194,0.8591549295774648,71
21,20,minimal,0.678996036988111,0.6923076923076923,-0.01331165531958134,0.1611208608380801,0.875,40
22,12,conservative,0.6922060766182299,0.6923076923076923,-0.00010161568946243094,0.1874254261551056,0.75,8
23,16,moderate,0.678996036988111,0.6923076923076923,-0.01331165531958134,0.17155080095092126,0.8928571428571429,28
24,16,aggressive,0.6816380449141347,0.6892307692307692,-0.0075927243166344915,0.16819452224908202,0.90625,32
25,20,moderate,0.6803170409511229,0.6892307692307692,-0.008913728279646316,0.16215109344632134,0.9,40
26,24,aggressive,0.678996036988111,0.6892307692307692,-0.010234732242658251,0.15136201539863853,0.8333333333333334,54
27,24,moderate,0.6776750330250991,0.6892307692307692,-0.011555736205670075,0.15465477252734994,0.84,50
28,20,aggressive,0.6803170409511229,0.6892307692307692,-0.008913728279646316,0.15883058235855327,0.8636363636363636,44
29,28,none,0.6723910171730515,0.6892307692307692,-0.016839752057717705,0.14710985562435458,0.8529411764705882,68
30,12,aggressive,0.6803170409511229,0.6861538461538461,-0.0058368052027232276,0.1803003121409736,0.8666666666666667,15
